r,g,b,hex
251,252,242,#FBFCF2
236,245,211,#ECF5D3
219,242,189,#DBF2BD
202,240,177,#CAF0B1
174,237,161,#AEEDA1
150,235,156,#96EB9C
143,235,158,#8FEB9E
138,237,164,#8AEDA4
132,240,171,#84F0AB
126,242,180,#7EF2B4
121,237,185,#79EDB9
117,235,192,#75EBC0
110,230,200,#6EE6C8
103,230,208,#67E6D0
98,227,216,#62E3D8
90,224,224,#5AE0E0
84,206,222,#54CEDE
74,181,217,#4AB5D9
64,159,214,#409FD6
58,139,224,#3A8BE0
60,122,214,#3C7AD6
62,107,199,#3E6BC7
64,99,189,#4063BD
70,97,179,#4661B3
76,97,166,#4C61A6
76,90,145,#4C5A91
71,78,115,#474E73
